compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites,year_clean
Telmisartan,ARB,Angiotensin II type 1 (AT1) receptor,Hypertension,Approved,1998,,,approved,Cardiovascular,,approved_control,Approved controls (success),,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,RMMXLENWKUUMAY-UHFFFAOYSA-N,65999,OK,58,"A violation of the 'Grease Tax'. This molecule fuses a biphenyl-carboxylate system with two benzimidazole-like moieties and alkyl chains. The Molecular Weight exceeds 500 ('The Brick') and cLogP is likely > 6. While this hydrophobic bulk ensures high potency via entropic displacement, it creates severe liabilities: poor aqueous solubility, high plasma protein binding, and a significant risk of phospholipidosis and DILI (Rule of Two: High LogP + High Dose). It is a classic 'brick dust' compound. Tox Summary: Not Clean (Lipophilicity-driven toxicity risks).",Medium,High Lipophilicity (DILI risk),0.6,Solubility issues may complicate formulation; safety watch on liver enzymes.,0.3,"Efficacy likely, but high attrition risk due to PK variability and safety signals.",0.1,Chronic dosing of such lipophilic compounds often reveals rare tox events.,0.3,,1998.0
Carvedilol,Non-selective beta blocker,"_1_, _2_, and _1_-adrenergic receptors",Heart failure,Approved,1995,,,approved,Cardiovascular,,approved_control,Approved controls (success),,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,OGHNVEJMJSYVRP-UHFFFAOYSA-N,2585,OK,65,"This structure triggers significant developability alerts. It features a basic secondary amine flanked by two massive lipophilic domains (a carbazole system and a phenoxyethyl-substituted aryl ring). This specific topology (Basic Center + Linker + Lipophilic Cluster) is the textbook pharmacophore for hERG channel blockade. While the carbazole moiety offers high affinity potential, the cLogP is likely pushing > 4.5, and the MW is high. The risk of phospholipidosis and QT prolongation is substantial for an NCE. It relies heavily on 'grease' for binding. Tox Summary: Not Clean (hERG/Phospholipidosis risk).",Low,"Carbazole (reactive metabolites?), High Lipophilicity/Basicity (hERG)",0.4,High risk of QT prolongation or safety signals in early escalation.,0.25,Dose-limiting side effects may prevent achieving therapeutic index.,0.1,Safety margins will be the primary killer in large populations.,0.3,,1995.0
Atorvastatin,HMG-CoA reductase inhibitor,HMG-CoA reductase,Dyslipidemia,Approved,1996,,,approved,Cardiovascular,,approved_control,Approved controls (success),,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,CC(C)C1=C(C(=C(N1CCCH(CCH(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,XUKUURHRXDUEBC-KAYWLYCHSA-N,60823,OK,58,"This molecule is a 'Grease Brick'. With a molecular weight clearly exceeding 550 Da and a scaffold loaded with three aromatic rings plus an isopropyl group, the cLogP is likely pushing >5. The 3,5-dihydroxy acid side chain is the only feature preventing this from being a brick of charcoal, likely forcing reliance on hepatic uptake transporters (OATP) rather than passive diffusion. The aniline-amide linkage is a structural alert for idiosyncratic toxicity via hydrolysis or bioactivation to quinone-imine species. While the potency might be high due to the hydrophobic collapse in the pocket, the LipE is likely poor. It screams DILI risk due to the 'Rule of Two' (High LogP + High Dose).",Low,"Aniline amide, electron-rich pyrrole core, isopropyl (benzylic oxidation)",0.65,High lipophilicity often correlates with off-target hits (hERG) and safety signals in Phase 1.,0.35,"Efficacy likely driven by high exposure, but variability in transporters could kill it.",0.1,DILI risk is the main attrition driver here. Chronic dosing of a greasy brick is risky.,0.45,,1996.0
Rosuvastatin,HMG-CoA reductase inhibitor,HMG-CoA reductase,Dyslipidemia,Approved,2003,,,approved,Cardiovascular,,approved_control,Approved controls (success),,CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,CC(C)C1=NC(=NC(=C1C=CCH(CCH(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,BPRHUIZQVSMCRT-VEUZHWNKSA-N,446157,OK,28,"This is a superior design to the pyrrole analogue. The replacement of the central core with a pyrimidine and the addition of a polar N-methyl-methanesulfonamide group significantly lowers cLogP, bringing the molecule into a much healthier LipE zone. The MW is more manageable (<500). The styrene-like linker to the dihydroxy acid is robust. This molecule balances potency with physicochemical manners. It avoids the 'Grease Tax' while maintaining the pharmacophore. The sulfonamide moiety is generally well-tolerated, though hypersensitivity is a watchlist item. This represents a 'Best in Class' optimization profile.",High,"Sulfonamide (hypersensitivity risk), Fluorophenyl (benzylic oxidation resistant)",0.85,Clean physicochemical profile suggests good safety margins and predictable PK.,0.6,High potency + good exposure = high probability of PoC.,0.3,Low lipophilicity reduces the risk of idiosyncratic toxicity in large populations.,0.75,,2003.0
Metformin,Biguanide,Mitochondrial respiratory-chain complex I and AMPK,T2D,Approved,1995,,,approved,Metabolic,,approved_control,Approved controls (success),,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,4091,OK,88,"From a medicinal chemistry perspective, this is a disaster. It is a 1,1-dimethylbiguanide: highly basic, extremely polar (negative LogP), and essentially a fragment. It violates every rule of rational drug design. It has no hydrophobic core to drive affinity, suggesting it works via non-specific interactions or obscure transporter mechanisms rather than a defined binding pocket. The high basicity implies it will be fully protonated, making passive membrane permeability impossible. It looks more like a buffer component than a drug. If this is a lead, there is no path to optimization because adding 'drug-like' features would destroy its unique physicochemical profile. Tox Summary: Potential for mitochondrial interference due to charge/cation accumulation.",High,"Biguanide (mitochondrial toxicity risk), Guanidine-like basicity",0.3,High risk of PK failure (zero permeability) or acute toxicity (lactic acidosis).,0.15,Hard to demonstrate efficacy if it can't get into the cell/tissue.,0.05,Commercial viability is low for a molecule that requires massive doses to overcome poor PK.,0.2,,1995.0
Empagliflozin,SGLT2 inhibitor,Sodium-glucose co-transporter 2 (SGLT2),T2D,Approved,2014,,,approved,Metabolic,,approved_control,Approved controls (success),,C1COC[C@H]1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)Cl,C1COCCH1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)CH4CH(CH(CH(CH(O4)CO)O)O)O)Cl,OBWASQILIWPZMG-QZMOQZSNSA-N,11949646,OK,62,"This structure grafts a glucose moiety directly onto a chlorinated aromatic ring via a C-glycosidic bond. While the C-glycoside solves the metabolic instability of O-glycosides, the physicochemical penalty is severe. The TPSA is massive (>120 Å²), and the number of hydrogen bond donors guarantees zero passive brain penetration and poor intestinal absorption without active transport. The distal THF-ether ring is a metabolic liability (susceptible to oxidation). This is a 'molecular chameleon' that relies entirely on specific transporters for bioavailability. It is a risky, high-polarity strategy that medchemists usually avoid unless the target is extracellular or a transporter itself.",Medium,"THF ring (oxidative ring opening), Glucose moiety (transport dependency)",0.7,Safety is likely acceptable as it won't cross into CNS or deep compartments easily.,0.45,Efficacy depends entirely on the expression of the specific transporter it hijacks.,0.2,Chronic safety concerns regarding urinary tract issues due to glycosuria mechanism.,0.5,,2014.0
Dapagliflozin,SGLT2 inhibitor,Sodium-glucose co-transporter 2 (SGLT2),T2D,Approved,2014,,,approved,Metabolic,,approved_control,Approved controls (success),,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)CH3CH(CH(CH(CH(O3)CO)O)O)O)Cl,JVHXJTBJCFBINQ-ADAARDCZSA-N,9887712,OK,18,"This is a textbook example of balancing polarity for specific tissue distribution (kidney) against lipophilicity for potency. The C-aryl glycoside motif is a clever bioisostere of O-glycosides, granting metabolic stability against glucosidases while maintaining the pharmacophore. The distal ethoxy-phenyl tail provides the necessary lipophilic anchor (LipE driver) to sit in the hydrophobic pocket. While the TPSA (>100) and HBD count (4) violate CNS rules, they are required here for active transport mimicry. The structure is devoid of 'hard kill' alerts. No hERG risk (neutral/acidic sugar). Clean.",High,None (Ethoxy dealkylation is a standard clearance route),0.85,Low toxicity risk. C-glycoside is chemically robust. No reactive metabolites anticipated.,0.65,Mechanism is well-validated. Pharmacokinetics should be predictable (renal clearance likely).,0.5,"Chronic safety looks good. Main risk is class-effect (UTIs due to glucosuria), not structural tox.",0.27,,2014.0
Canagliflozin,SGLT2 inhibitor,Sodium-glucose co-transporter 2 (SGLT2),T2D,Approved,2013,,,approved,Metabolic,,approved_control,Approved controls (success),,CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,CC1=C(C=C(C=C1)CH2CH(CH(CH(CH(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,24812758,OK,42,"Structurally similar to the previous entry but with a critical flaw: the inclusion of a Thiophene linker. While the C-glycoside warhead is sound, replacing a phenyl ring with a thiophene introduces a 'Bioactivation Tax'. Thiophenes are notorious for S-oxidation or ring-opening to form reactive electrophiles, leading to idiosyncratic toxicity or DILI. While the fluorophenyl tail attempts to block distal metabolism, the core heterocyclic liability remains. Why take the risk when a phenyl linker works? This receives a penalty for unnecessary structural alerts.",Medium,"Thiophene (Bioactivation alert), Fluorine (Good metabolic block)",0.65,Thiophene introduces uncertainty in Phase 1 safety (liver enzyme elevations).,0.4,"If it survives P1, efficacy is likely, but safety margins will be tighter than the phenyl analog.",0.2,Idiosyncratic tox risk lowers P3 survival significantly.,0.05,,2013.0
Sitagliptin,DPP-4 inhibitor,Dipeptidyl peptidase-4 (DPP-4),T2D,Approved,2006,,,approved,Metabolic,,approved_control,Approved controls (success),,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CCH(CC3=CC(=C(C=C3F)F)F)N,MFFMDFFZMYYVKS-SECBINFHSA-N,4369359,OK,12,"An elite piece of medicinal chemistry. The scaffold utilizes a fused triazolopyrazine core decorated with heavy fluorination (6 fluorine atoms!). This screams 'Metabolic Armor'. The trifluoromethyl and trifluorophenyl groups effectively shut down oxidative metabolism, likely resulting in a molecule that is excreted unchanged (renal clearance). The beta-amino amide motif is stable. Despite the basic amine, the electron-withdrawing environment mitigates hERG risk. MW is ideal (~407). This is a 'Goldilocks' molecule: highly potent, metabolically inert, and chemically stable. Tox Summary: Clean.",High,None (High Fluorine content is a stability feature here),0.92,Extremely clean profile. Low risk of off-target interactions or metabolites.,0.75,Excellent PK predicted. High target engagement expected.,0.6,Chronic safety should be exemplary due to lack of metabolism.,0.41,,2006.0
Linagliptin,DPP-4 inhibitor,Dipeptidyl peptidase-4 (DPP-4),T2D,Approved,2011,,,approved,Metabolic,,approved_control,Approved controls (success),,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,CC#CCN1C2=C(N=C1N3CCCCH(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,LTXREWYXXSTFRX-QGZVFWFLSA-N,10096344,OK,55,"This molecule is a 'Brick'. MW is approaching 480, and the structure is dominated by flat, aromatic systems (Xanthine + Quinazoline), suggesting poor solubility and potential for pi-stacking aggregation. The inclusion of a But-2-ynyl (alkyne) group is a 'Soft Alert' for mechanism-based inhibition (suicide inhibition) of P450s. While the primary amine is present for the target, the overall lipophilicity and complexity suggest this molecule relies on biliary excretion and may have variable PK. It lacks the elegance of the smaller competitors. Tox Summary: Not Clean (Alkyne + Solubility risks).",Medium,"Alkyne (P450 inactivation risk), Quinazoline (Kinase promiscuity risk)",0.6,PK variability and potential for non-linear absorption due to solubility.,0.35,"Efficacy likely, but dosing regimen may be complex.",0.15,Complex metabolism and potential drug-drug interactions (DDI) via the alkyne/P450 axis.,0.03,,2011.0
Alogliptin,DPP-4 inhibitor,Dipeptidyl peptidase-4 (DPP-4),T2D,Approved,2013,,,approved,Metabolic,,approved_control,Approved controls (success),,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCC[C@H](C3)N,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCCH(C3)N,ZSBOMTDTBDDKMP-OAHLLOKOSA-N,11450633,OK,15,"High Ligand Efficiency. This molecule strips away the fat. A simple pyrimidinedione (uracil-like) scaffold serves as a rigid spacer. The benzonitrile is a robust, polar anchor that improves solubility without adding 'grease'. The aminopiperidine is the standard warhead. MW < 350 is fantastic, leaving ample room for optimization if needed, though it looks finished. No obvious structural alerts. The nitrile is generally stable in this context. This represents a 'Minimalist' approach to drug design—highly favorable. Tox Summary: Clean.",High,"Benzonitrile (Low risk, generally stable)",0.9,Clean chemistry. Low MW suggests good bioavailability and low toxicity.,0.7,Strong target engagement with minimal ADME liabilities.,0.55,Low cost of goods and high safety margin.,0.35,,2013.0
Orlistat,Lipase inhibitor,Gastric and pancreatic lipases (inhibits dietary fat absorption),Obesity,Approved,1999,,,approved,Metabolic,,approved_control,Approved controls (success),,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,CCCCCCCCCCCCH(CCH1CH(C(=O)O1)CCCCCC)OC(=O)CH(CC(C)C)NC=O,AHLBNYSZXLDEJQ-FWEHEUNISA-N,3034010,OK,68,"This molecule is a 'Grease-Reactant' hybrid. It combines extreme lipophilicity (long aliphatic chains, cLogP likely > 6) with a reactive beta-lactone warhead. While the beta-lactone is a mechanism-based suicide inhibitor for serine hydrolases, it poses a significant risk of non-specific acylation of plasma proteins if absorbed. The molecule violates nearly all rules for systemic oral bioavailability (MW, LogP, Rotatable Bonds). It survives only as a gut-restricted agent; as a systemic NCE, it would be rejected immediately due to the 'Grease Tax' and alkylation risks. Tox Summary: Not Clean (Reactive Warhead).",Low,"Beta-lactone (electrophile/acylating agent), Formamide ester",0.4,Safety concerns regarding the reactive beta-lactone and potential for idiosyncratic toxicity if systemically absorbed.,0.3,Efficacy depends entirely on restriction to the lumen; systemic exposure would likely be sub-therapeutic due to rapid hydrolysis/clearance.,0.2,Gastrointestinal side effects (steatorrhea) are mechanism-intrinsic and limit commercial adherence.,0.24,,1999.0
Pioglitazone,PPAR-_ agonist,Peroxisome proliferator-activated receptor gamma (PPAR-_),T2D,Approved,1999,,,approved,Metabolic,,approved_control,Approved controls (success),,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,HYAFETHFCAUJAY-UHFFFAOYSA-N,4829,OK,38,"Physicochemically, this is a reasonable drug candidate (MW < 400, cLogP ~3.5). The pyridine-ethoxy linker is a standard medicinal chemistry motif. However, the Thiazolidinedione (TZD) headgroup incurs a 'Class Tax'. TZDs are associated with fluid retention, weight gain, and potential hepatotoxicity or bladder cancer risks depending on the specific scaffold. While the chemistry is stable, the clinical baggage of the headgroup limits the score. It is a competent molecule with a high 'Clinical Tax'. Tox Summary: Clean structure, Dirty Class.",Medium,Thiazolidinedione (associated with idiosyncratic DILI/edema),0.75,"Generally well-tolerated in short term, though TZD class effects need monitoring.",0.45,"Strong validation for the target class, but differentiation from existing generic failures is difficult.",0.15,Cardiovascular safety trials (CVOT) are a massive hurdle for this structural class.,0.55,,1999.0
Repaglinide,Meglitinide,ATP-sensitive potassium (K-ATP channels on pancreatic beta cells,T2D,Approved,1997,,,approved,Metabolic,,approved_control,Approved controls (success),,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,CCOC1=C(C=CC(=C1)CC(=O)NCH(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,FAEKWTJYAYMJKF-QHCPKHFHSA-N,65981,OK,28,"A robust oral drug candidate. The carboxylic acid anchors the lipophilicity, preventing it from being purely 'grease'. The scaffold contains a tertiary aniline substructure (phenyl-piperidine), but it is sterically managed. The molecule is somewhat complex (MW > 450) and lipophilic (cLogP ~4-5), suggesting high plasma protein binding and potential CYP interactions (likely 2C8/3A4). However, it lacks 'Hard Kill' alerts and fits well within the oral drug space. Tox Summary: Clean.",Medium,None specific (Benzoic acid moiety is safe),0.85,Standard ADME profile expected; acid moiety reduces CNS penetration and hERG risk.,0.5,Mechanism is well-validated; efficacy is highly probable.,0.3,Commercial viability depends on dosing frequency and side effect profile (hypoglycemia).,0.75,,1997.0
