compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites
Phenobarbital,GABA-A modulator,GABA_A receptor (positive allosteric modulation),Epilepsy,Approved,1912,,,approved,CNS,,approved_control,Approved controls (success),,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,DDBREPKUVSBGFI-UHFFFAOYSA-N,4763,OK,48,"This molecule presents a classic, rigid heterocyclic scaffold with high acidity (cyclic imide/urea motif). While the physicochemical properties (MW ~232, cLogP ~1.5) fit the CNS profile, the high polarity relative to molecular weight suggests a need for high dosing to achieve brain occupancy. The quaternary carbon is a good metabolic block, but the scaffold is historically associated with narrow therapeutic indices and generalized CNS depression rather than specific modulation. It feels like a 'blunt instrument' rather than a precision tool. Tox Summary: Clean structure, but functional class carries sedation risks.",Medium,None (Acidic heterocycle may affect distribution),0.75,"Physicochemistry is benign, likely good oral bioavailability.",0.4,"Efficacy likely, but differentiation from legacy sedatives will be difficult.",0.2,Safety margin (TI) is the primary killer for this chemical class.,0.6,
Primidone,Barbiturate derivative,Converted to Phenobarbital (targeting GABA_A) and phenylethylmalonamide,Epilepsy,Approved,1954,,,approved,CNS,,approved_control,Approved controls (success),,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,DQMZLTXERSFNPB-UHFFFAOYSA-N,4909,OK,55,"Structurally very similar to the previous entry but lacking one carbonyl, resulting in a cyclic urea/amide hybrid. This reduction significantly lowers lipophilicity (cLogP < 1.0) and increases metabolic complexity—this molecule looks suspiciously like a metabolic precursor or a prodrug of the dione form. The methylene group between the nitrogens is a prime site for oxidative metabolism. As an NCE, the low lipophilicity is a double-edged sword: good solubility but potentially poor passive diffusion across the BBB without active transport. Tox Summary: Potential for variable metabolism.",Low,Methylene bridge (Bioactivation risk),0.7,Variable PK due to metabolism of the methylene bridge.,0.35,Likely relies on conversion to active metabolite for full efficacy.,0.15,Complex PK/PD relationship usually leads to attrition.,0.4,
Rufinamide,Na+ channel modulator,Prolongation of the inactive state of voltage-gated Na+ channels,Epilepsy,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F,POGQSBRIGCQNEG-UHFFFAOYSA-N,129228,OK,28,"This is a highly efficient fragment-like structure. The use of a 1,2,3-triazole as a bioisostere is excellent for stability. The 2,6-difluoro substitution on the benzyl ring is a textbook medicinal chemistry maneuver to block metabolic soft spots and improve lipophilicity/metabolic stability. MW is very low (~238), leaving massive room for optimization, though as a final drug, it might require high doses due to low molecular complexity (fewer binding interactions). However, the LipE potential here is elite. Tox Summary: Clean.",High,"Primary Amide (Hydrolysis risk, minor)",0.85,"Clean chemistry, blocked metabolic sites, low toxicity risk.",0.5,"High dose burden likely, but mechanism validation is the main hurdle.",0.35,Simple molecules often survive if efficacy is sufficient.,0.8,
Clobazam,Benzodiazepine,"GABA_A receptor (1,4-benzodiazepine structure)",Epilepsy,Approved,2011,,,approved,CNS,,approved_control,Approved controls (success),,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CXOXHMZGEKVPMT-UHFFFAOYSA-N,2789,OK,22,"This structure hits the 'Goldilocks' zone for CNS drugs. MW ~300, cLogP ~2.5, and TPSA ~40 make it an ideal penetrant. The 1,5-diazepine scaffold is a privileged structure in CNS medicinal chemistry. The N-methyl and chlorophenyl motifs are standard but effective. There are no obvious structural alerts or toxicophores. The balance of lipophilicity and polarity suggests high potency and good bioavailability. This is what a CNS drug should look like. Tox Summary: Clean.",Medium,None,0.85,Excellent drug-like properties predict good human PK.,0.6,Strong engagement expected; sedation is the main on-target side effect to manage.,0.45,Commercial viability is high if differentiation is clear.,0.9,
Vigabatrin,GABA-T inhibitor,GABA transaminase (irreversible inhibition),Epilepsy,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),,C=CC(CCC(=O)O)N,C=CC(CCC(=O)O)N,PJDFLNIOAUIZSL-UHFFFAOYSA-N,5665,OK,78,"This is a small aliphatic amino acid with a vinyl group. The structure screams 'Mechanism-Based Inhibitor' (Suicide Substrate). While the vinyl group isn't a Michael acceptor in the ground state, the mechanism likely involves enzymatic activation to a reactive intermediate that covalently modifies the target (likely PLP-dependent). Covalent inhibitors, especially non-aromatic ones, carry a heavy 'Tox Tax' due to the risk of off-target alkylation and idiosyncratic toxicity. This is a high-risk strategy. Tox Summary: Not Clean (Covalent Warhead).",High,Vinyl group (Latent Michael Acceptor/Alkylator),0.4,Safety concerns regarding covalent binding and off-target reactivity.,0.25,"Efficacy will be high (irreversible), but side effects may limit dosing.",0.1,"Chronic dosing of covalent inhibitors often reveals rare, serious tox (e.g., organ damage).",0.25,
Tiagabine,GABA reuptake inhibitor,GAT-1 GABA transporter,Epilepsy,Approved,1997,,,approved,CNS,,approved_control,Approved controls (success),,CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C,CC1=C(SC=C1)C(=CCCN2CCCCH(C2)C(=O)O)C3=C(C=CS3)C,PBJUNZJWGZTSKL-MRXNPFEDSA-N,60648,OK,58,"The molecule presents a bis-thiophene alkene motif linked to a nipecotic acid derivative. While the zwitterionic character (tertiary amine + carboxylic acid) is a classic strategy for amino acid transporters, the lipophilic tail (bis-thiophene) pushes the cLogP dangerously high for a zwitterion, creating a 'Grease Tax' situation. CRITICAL ALERT: Thiophenes are structural alerts for metabolic bioactivation (S-oxidation and ring opening), leading to reactive intermediates. The alkene linker is also a metabolic soft spot. While potency may be high due to the lipophilic anchor, the developability is compromised by the potential for idiosyncratic toxicity and poor passive permeability due to the charged headgroup. Tox Summary: Not Clean (Thiophene bioactivation risk).",Low,"Thiophene rings (S-oxidation/ring opening), Alkene linker (epoxidation)",0.65,"Bioactivation risks from thiophenes lower safety confidence, though acute tox might be manageable.",0.35,"CNS penetration is the hurdle; zwitterions require transporters. If passive diffusion is relied upon, efficacy will fail.",0.1,Idiosyncratic toxicity from thiophene metabolites often manifests in larger populations.,0.45,
Stiripentol,GABA modulator,GABA_A receptor modulation and inhibition of CYP450 enzymes,Epilepsy,Approved,2018,,,approved,CNS,,approved_control,Approved controls (success),,CC(C)(C)C(/C=C/C1=CC2=C(C=C1)OCO2)O,CC(C)(C)C(C=CC1=CC2=C(C=C1)OCO2)O,IBLNKMRFIPWSOY-FNORWQNLSA-N,5311454,OK,88,"HARD KILL ALERT. This structure contains a Methylenedioxyphenyl (Benzodioxole) moiety. In the context of 'Edward's Rules', this is a guaranteed Mechanism-Based Inhibitor (MBI) of P450 enzymes (formation of a carbene-iron complex). This is a 'Suicide Inhibition' motif that causes drug-drug interactions (DDIs). Additionally, the styrene-like double bond adjacent to the alcohol suggests potential for reactive metabolite formation (quinone methides or epoxides). While the MW is low and CNS penetration likely high, the metabolic liability is unacceptable for a modern NCE. Tox Summary: Not Clean (Benzodioxole MBI).",Low,"Benzodioxole (P450 inactivation), Styrene alkene (epoxidation)",0.2,Capped at 20% due to 'Hard Kill' MBI alert. High risk of DDI and enzyme inactivation.,0.1,Dose-limiting side effects and erratic PK due to metabolic inhibition.,0.05,Commercial viability is near zero with a strong MBI label in a chronic CNS indication.,0.15,
Eslicarbazepine,Na+ channel blocker,Voltage-gated Na+ channels,Epilepsy,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),,C1[C@@H](C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,C1CH(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,BMPDWHIDQYTSHX-AWEZNQCLSA-N,9881504,OK,22,"This is a highly optimized CNS scaffold. The tricyclic dibenzazepine core provides the necessary rigid lipophilicity for channel blocking, while the carboxamide and secondary alcohol provide polarity to keep LogP in the Goldilocks zone (2-3). Crucially, the presence of the hydroxyl group at the benzylic position mitigates the risk of epoxidation often seen in alkene analogs of this class (metabolic shunting). The molecule is compact (MW < 300), rigid, and lacks obvious toxicophores. This represents 'Elite' medicinal chemistry balancing potency and safety. Tox Summary: Clean.",High,"None significant (Amide hydrolysis unlikely, Glucuronidation of OH is safe clearance)",0.85,"Clean structural profile, low toxicity risk.",0.55,Excellent physicochemical properties for CNS exposure.,0.3,Standard attrition risks only; no structural red flags.,0.8,
Donepezil,AChE inhibitor,Acetylcholinesterase (AChE),Alzheimer disease,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,ADEBPBSSDYVVLD-UHFFFAOYSA-N,3152,OK,68,"This molecule triggers the 'hERG Pharmacophore' alarm loudly. It possesses a basic nitrogen (piperidine) linked via a flexible spacer to a lipophilic aromatic moiety (benzyl) and another aromatic core (indanone). This topology fits the hERG channel pore binding site perfectly. While the CNS MPO score might be acceptable based on cLogP and MW, the cardiac safety risk is the dominant liability. The dimethoxy-indanone is metabolically labile (O-demethylation), but the cardiac risk outweighs metabolic concerns. It looks like a potent binder, but safety margins will be tight. Tox Summary: Not Clean (High hERG risk).",Medium,"Basic amine + Lipophilic linkers (hERG liability), Benzyl group (metabolic oxidation)",0.5,QT prolongation risk is the primary threat to Phase 1 success.,0.3,"Efficacy likely good, but therapeutic window limited by cardiac events.",0.1,Cardiovascular safety signals in larger populations usually kill these programs or result in black box warnings.,0.35,
Rivastigmine,AChE inhibitor,Both Acetylcholinesterase and Butyrylcholinesterase,Alzheimer disease,Approved,2000,,,approved,CNS,,approved_control,Approved controls (success),,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,CCN(C)C(=O)OC1=CC=CC(=C1)CH(C)N(C)C,XSVMFMHYUFZWBK-NSHDSACASA-N,77991,OK,62,"The structure is a phenyl carbamate. In the context of AChE inhibition, this implies a covalent mechanism of action (pseudo-irreversible carbamylation of the active site serine). While effective for potency, covalent modifiers carry a 'Reactivity Tax'. There is a risk of off-target protein carbamylation leading to immunotoxicity or idiosyncratic events. Furthermore, the chemical stability of the carbamate ester in plasma is a concern (hydrolysis before target engagement). The molecule is small and CNS permeable, but the 'dirty' mechanism penalizes the score. Tox Summary: Not Clean (Covalent warhead/Carbamate).",Low,"Carbamate ester (Chemical instability/Covalent modification), Benzylic amine",0.6,Safety concerns regarding off-target carbamylation and cholinergic overstimulation.,0.4,"Mechanism is validated, but short half-life (hydrolysis) might require frequent dosing.",0.15,GI side effects and narrow therapeutic index typical of this class limit commercial potential.,0.4,
Galantamine,AChE inhibitor,Acetylcholinesterase (AChE) and allosteric modulation of Nicotinic ACh receptors,Alzheimer disease,Approved,2001,,,approved,CNS,,approved_control,Approved controls (success),,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O,CN1CCC23C=CCH(CCH2OC4=C(C=CC(=C34)C1)OC)O,ASUTZQLVASHGKV-JDFRZJQESA-N,9651,OK,18,This tetracyclic scaffold is a masterclass in CNS design. MW < 300 and cLogP ~1.5-2.0 places this firmly in the 'Golden Triangle' for brain penetration. The rigid aliphatic framework limits entropic penalties upon binding. The tertiary amine provides the necessary basic center for CNS targets without introducing excessive flexibility or lipophilicity. The allylic alcohol and phenol ether are metabolically accessible but manageable. No glaring structural alerts. This is what a CNS drug should look like. Tox Summary: Clean.,Medium,None identified,0.85,Excellent physicochemical properties suggest good oral bioavailability and safety margins. Low risk of off-target toxicity.,0.45,Strong CNS MPO score implies high probability of target engagement in the brain.,0.2,"Complex stereochemistry may complicate manufacturing, but clinical attrition risk is low based on structure.",0.8,
Memantine,NMDA receptor antagonist,"NMDA receptor (uncompetitive, moderate-affinity antagonist)",Alzheimer disease,Approved,2003,,,approved,CNS,,approved_control,Approved controls (success),,CC12CC3CC(C1)(CC(C3)(C2)N)C,CC12CC3CC(C1)(CC(C3)(C2)N)C,BUGYDGFZZOZRHP-UHFFFAOYSA-N,4054,OK,12,"A compact, lipophilic cage structure (adamantane derivative). This is 'Molecular Ball Bearings'. The lipophilicity is high relative to size, but the rigid cage prevents non-specific binding associated with flexible greasy chains. The primary amine is sterically shielded, likely reducing rapid metabolic clearance. It is a textbook example of maximizing BBB penetration through shape and lipophilicity without blowing up MW. Tox Summary: Clean.",High,"Primary amine (minor alert, context dependent)",0.9,Metabolically robust scaffold. Likely renal clearance. High safety probability.,0.5,"Unquestionable BBB penetration. If the biology hypothesis holds, the chemistry will not fail you.",0.25,"Simple, stable, effective. High commercial viability.",0.85,
Pimavanserin,5-HT2A inverse agonist,5-HT2A receptor (selective inverse agonist/antagonist),Parkinson psychosis,Approved,2016,,,approved,CNS,,approved_control,Approved controls (success),,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C,RKEWSXXUOLRFBX-UHFFFAOYSA-N,10071196,OK,58,"This molecule is walking a tightrope. While MW and cLogP are within CNS limits, the structure screams 'hERG Liability'. You have a basic piperidine center connected via a linker to a lipophilic aromatic urea system. This fits the Class I hERG pharmacophore (Base-Spacer-Aromatic) perfectly. Additionally, the 4-fluorobenzyl and isopropoxy groups push the lipophilicity (cLogP > 4), increasing the 'Grease Tax'. It looks developable, but cardiac safety will be the gatekeeper. Tox Summary: hERG Risk.",Medium,Piperidine-Linker-Aromatic (hERG pharmacophore),0.6,QTc prolongation risk is the primary threat to Phase 1 success.,0.3,"If it survives safety, efficacy is plausible, but high lipophilicity may drive non-specific binding.",0.1,Cardiac monitoring requirements could limit commercial potential.,0.5,
Levodopa,Dopamine precursor,DOPA decarboxylase (substrate for conversion to dopamine),Parkinson disease,Approved,1970,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,C1=CC(=C(C=C1CCH(C(=O)O)N)O)O,WTDRDQBEARUVNC-LURJTMIESA-N,6047,OK,68,"Evaluated as an NCE, this is a metabolic nightmare. The catechol moiety (1,2-dihydroxybenzene) is a structural alert for rapid COMT metabolism and oxidation to reactive ortho-quinones, which cause oxidative stress. Furthermore, the molecule is a zwitterionic amino acid. Passive BBB permeability will be near zero; it requires a specific transporter (e.g., LAT1) to work. Relying on active transport for an NCE is a high-risk strategy. Tox Summary: Reactive Metabolites.",Low,Catechol (Quinone formation),0.4,Short half-life and potential for reactive metabolites reduce safety margins.,0.2,"Efficacy is contingent on active transport, a binary pass/fail filter.",0.05,Chronic dosing of catechols is historically difficult without adjunct therapy.,0.3,
